108.160.165.62	dropbox.com
108.160.167.201	www.dropbox.com
108.160.166.144	api.dropbox.com
108.160.166.144	api-notify.dropbox.com
174.129.253.24	api-content.dropbox.com
108.160.166.61	api-d.dropbox.com
108.160.165.212	client-lb.dropbox.com
108.160.172.65	block.dropbox.com
108.160.165.189	d.dropbox.com
54.225.222.141	dl.dropbox.com
107.22.191.122	dl.dropboxusercontent.com
23.21.153.178	dl-web.dropbox.com
23.21.206.219	forums.dropbox.com

#Google Services START
#GoogleAccounts↓
64.233.182.84	accounts.google.com
64.233.182.84	accounts.l.google.com
#GoogleAccounts↑
#www.google.com↓
64.233.182.106	www.google.com
#www.google.com↑
#Googleapis↓
210.242.125.123	mt0.googleapis.com
210.242.125.123	mt1.googleapis.com
210.242.125.123	mt2.googleapis.com
210.242.125.123	mt3.googleapis.com
210.242.125.123	mts0.googleapis.com
210.242.125.123	mts1.googleapis.com
210.242.125.123	mts2.googleapis.com
210.242.125.123	mts3.googleapis.com
210.242.125.123	googleapis.com
64.233.182.95	www.googleapis.com
64.233.182.95	android.googleapis.com
64.233.182.95	play.googleapis.com
64.233.182.95	plus.googleapis.com
64.233.182.95	ajax.googleapis.com
64.233.182.95	chart.googleapis.com
64.233.182.95	fonts.googleapis.com
64.233.182.95	redirector-bigcache.googleapis.com
64.233.182.95	translate.googleapis.com
64.233.182.95	maps.googleapis.com
64.233.182.95	content.googleapis.com
64.233.182.95	googleapis.l.google.com
64.233.182.95	doc-0a9v4-0agdq-s-googleusercontent.commondatastorage.googleapis.com
#Googleapis↑
#Android↓
#74.125.235.226	android-china.l.google.com
#74.125.235.226	www-china.l.google.com
64.233.182.100	android.clients.google.com
64.233.182.100	android.apis.google.com
64.233.182.100	android.l.google.com
64.233.182.132	googlehosted.l.google.com
210.242.125.123	base0.googlehosted.com
210.242.125.123	base1.googlehosted.com
210.242.125.123	base2.googlehosted.com
210.242.125.123	base3.googlehosted.com
210.242.125.123	base4.googlehosted.com
210.242.125.123	base5.googlehosted.com
64.233.182.113	clients.l.google.com
64.233.182.139	clients1.google.com
64.233.182.139	clients2.google.com
64.233.182.139	clients3.google.com
64.233.182.139	clients4.google.com
64.233.182.139	clients5.google.com
64.233.182.139	clients6.google.com
64.233.182.139	clients7.google.com
64.233.182.189	0.client-channel.google.com
64.233.182.189	1.client-channel.google.com
64.233.182.189	2.client-channel.google.com
64.233.182.189	3.client-channel.google.com
64.233.182.189	4.client-channel.google.com
64.233.182.189	5.client-channel.google.com
64.233.182.189	6.client-channel.google.com
64.233.182.189	7.client-channel.google.com
64.233.182.189	8.client-channel.google.com
64.233.182.189	9.client-channel.google.com
64.233.182.189	10.client-channel.google.com
64.233.182.189	11.client-channel.google.com
64.233.182.189	12.client-channel.google.com
64.233.182.189	13.client-channel.google.com
64.233.182.189	14.client-channel.google.com
64.233.182.189	15.client-channel.google.com
64.233.182.189	16.client-channel.google.com
64.233.182.189	17.client-channel.google.com
64.233.182.189	18.client-channel.google.com
64.233.182.189	19.client-channel.google.com
64.233.182.189	20.client-channel.google.com
64.233.182.189	21.client-channel.google.com
64.233.182.189	22.client-channel.google.com
64.233.182.189	23.client-channel.google.com
64.233.182.189	24.client-channel.google.com
64.233.182.189	25.client-channel.google.com
64.233.182.189	26.client-channel.google.com
64.233.182.189	27.client-channel.google.com
64.233.182.189	28.client-channel.google.com
64.233.182.189	29.client-channel.google.com
64.233.182.188	mtalk.google.com
64.233.182.125	talk.google.com
64.233.182.125	talkx.l.google.com
64.233.182.125	talk.l.google.com
64.233.182.211	proxy.googlezip.net
64.233.182.211	ext.google.com
#Android↑
#Youtube↓
64.233.182.100	accounts.youtube.com
64.233.182.100	youtube.com
64.233.182.100	youtu.be
64.233.182.100	www.youtube.com
74.125.229.64	www.youtube-nocookie.com
64.233.182.100	m.youtube.com
64.233.182.100	s.youtube.com
64.233.182.100	s2.youtube.com
64.233.182.100	insight.youtube.com
64.233.182.100	img.youtube.com
74.125.232.121	apiblog.youtube.com
74.125.229.64	gdata.youtube.com
74.125.229.64	stage.gdata.youtube.com
64.233.182.100	help.youtube.com
64.233.182.100	redirector.c.youtube.com
64.233.182.100	i.ytimg.com
64.233.182.100	i1.ytimg.com
64.233.182.100	i2.ytimg.com
64.233.182.100	i3.ytimg.com
64.233.182.100	i4.ytimg.com
64.233.182.100	s.ytimg.com
64.233.182.100	ytimg.l.google.com
64.233.182.100	s0-2mdn-net.l.google.com
74.125.229.64	youtube-ui.l.google.com
64.233.182.106	manifest.googlevideo.com
64.233.182.113	redirector.googlevideo.com
#130.211.251.200	r1---sn-vgqsem7z.googlevideo.com
#130.211.251.200	r2---sn-vgqsem7z.googlevideo.com
#130.211.251.200	r3---sn-vgqsem7z.googlevideo.com
#130.211.251.200	r4---sn-vgqsem7z.googlevideo.com
#130.211.251.200	r5---sn-vgqsem7z.googlevideo.com
#130.211.251.200	r6---sn-vgqsem7z.googlevideo.com
#130.211.251.200	r7---sn-vgqsem7z.googlevideo.com
#130.211.251.200	r8---sn-vgqsem7z.googlevideo.com
#130.211.251.200	r9---sn-vgqsem7z.googlevideo.com
#130.211.251.200	r10---sn-vgqsem7z.googlevideo.com
#130.211.251.200	r11---sn-vgqsem7z.googlevideo.com
#130.211.251.200	r12---sn-vgqsem7z.googlevideo.com
#130.211.251.200	r13---sn-vgqsem7z.googlevideo.com
#130.211.251.200	r14---sn-vgqsem7z.googlevideo.com
#130.211.251.200	r15---sn-vgqsem7z.googlevideo.com
#130.211.251.200	r16---sn-vgqsem7z.googlevideo.com
#130.211.251.200	r17---sn-vgqsem7z.googlevideo.com
#130.211.251.200	r18---sn-vgqsem7z.googlevideo.com
#130.211.251.200	r19---sn-vgqsem7z.googlevideo.com
#130.211.251.200	r20---sn-vgqsem7z.googlevideo.com
#130.211.251.200	r1---sn-oguesnsz.googlevideo.com
#130.211.251.200	r2---sn-oguesnsz.googlevideo.com
#130.211.251.200	r3---sn-oguesnsz.googlevideo.com
#130.211.251.200	r4---sn-oguesnsz.googlevideo.com
#130.211.251.200	r5---sn-oguesnsz.googlevideo.com
#130.211.251.200	r6---sn-oguesnsz.googlevideo.com
#130.211.251.200	r7---sn-oguesnsz.googlevideo.com
#130.211.251.200	r8---sn-oguesnsz.googlevideo.com
#130.211.251.200	r9---sn-oguesnsz.googlevideo.com
#130.211.251.200	r10---sn-oguesnsz.googlevideo.com
#130.211.251.200	r11---sn-oguesnsz.googlevideo.com
#130.211.251.200	r12---sn-oguesnsz.googlevideo.com
#130.211.251.200	r13---sn-oguesnsz.googlevideo.com
#130.211.251.200	r14---sn-oguesnsz.googlevideo.com
#130.211.251.200	r15---sn-oguesnsz.googlevideo.com
#130.211.251.200	r16---sn-oguesnsz.googlevideo.com
#130.211.251.200	r17---sn-oguesnsz.googlevideo.com
#130.211.251.200	r18---sn-oguesnsz.googlevideo.com
#130.211.251.200	r19---sn-oguesnsz.googlevideo.com
#130.211.251.200	r20---sn-oguesnsz.googlevideo.com
#130.211.251.200	r1---sn-oguesnls.googlevideo.com
#130.211.251.200	r2---sn-oguesnls.googlevideo.com
#130.211.251.200	r3---sn-oguesnls.googlevideo.com
#130.211.251.200	r4---sn-oguesnls.googlevideo.com
#130.211.251.200	r5---sn-oguesnls.googlevideo.com
#130.211.251.200	r6---sn-oguesnls.googlevideo.com
#130.211.251.200	r7---sn-oguesnls.googlevideo.com
#130.211.251.200	r8---sn-oguesnls.googlevideo.com
#130.211.251.200	r9---sn-oguesnls.googlevideo.com
#130.211.251.200	r10---sn-oguesnls.googlevideo.com
#130.211.251.200	r11---sn-oguesnls.googlevideo.com
#130.211.251.200	r12---sn-oguesnls.googlevideo.com
#130.211.251.200	r13---sn-oguesnls.googlevideo.com
#130.211.251.200	r14---sn-oguesnls.googlevideo.com
#130.211.251.200	r15---sn-oguesnls.googlevideo.com
#130.211.251.200	r16---sn-oguesnls.googlevideo.com
#130.211.251.200	r17---sn-oguesnls.googlevideo.com
#130.211.251.200	r18---sn-oguesnls.googlevideo.com
#130.211.251.200	r19---sn-oguesnls.googlevideo.com
